gm_set,gm_id,base_eq_id,component_index,path,dt_path,dt,npts,duration_s,pga_g,ready_for_time_history
P695_NF28_sorted_txt,NF8201261,820126,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201261).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201261).txt,0.005,3253,16.265,0.5996583,True
P695_NF28_sorted_txt,NF8201262,820126,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201262).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201262).txt,0.005,3253,16.265,0.7102539,True
P695_NF28_sorted_txt,NF8201601,820160,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201601).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201601).txt,0.005,7521,37.605000000000004,0.7638503,True
P695_NF28_sorted_txt,NF8201602,820160,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201602).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201602).txt,0.005,7521,37.605000000000004,0.5930598,True
P695_NF28_sorted_txt,NF8201651,820165,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201651).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201651).txt,0.01,4000,40.0,0.2842858,True
P695_NF28_sorted_txt,NF8201652,820165,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201652).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201652).txt,0.01,4000,40.0,0.2655743,True
P695_NF28_sorted_txt,NF8201811,820181,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201811).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201811).txt,0.005,7807,39.035000000000004,0.4417138,True
P695_NF28_sorted_txt,NF8201812,820181,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201812).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201812).txt,0.005,7807,39.035000000000004,0.4001827,True
P695_NF28_sorted_txt,NF8201821,820182,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201821).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201821).txt,0.005,7364,36.82,0.4623938,True
P695_NF28_sorted_txt,NF8201822,820182,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201822).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201822).txt,0.005,7364,36.82,0.3349778,True
P695_NF28_sorted_txt,NF8202921,820292,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8202921).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8202921).txt,0.0024,16392,39.340799999999994,0.2320527,True
P695_NF28_sorted_txt,NF8202922,820292,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8202922).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8202922).txt,0.0024,16392,39.340799999999994,0.3053232,True
P695_NF28_sorted_txt,NF8204951,820495,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8204951).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8204951).txt,0.005,4113,20.565,0.853739,True
P695_NF28_sorted_txt,NF8204952,820495,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8204952).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8204952).txt,0.005,4113,20.565,1.178028,True
P695_NF28_sorted_txt,NF8204961,820496,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8204961).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8204961).txt,0.005,3991,19.955000000000002,0.445846,True
P695_NF28_sorted_txt,NF8204962,820496,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8204962).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8204962).txt,0.005,3991,19.955000000000002,0.3396969,True
P695_NF28_sorted_txt,NF8207231,820723,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207231).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8207231).txt,0.01,2231,22.31,0.4185484,True
P695_NF28_sorted_txt,NF8207232,820723,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207232).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8207232).txt,0.01,2231,22.31,0.34351,True
P695_NF28_sorted_txt,NF8207411,820741,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207411).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8207411).txt,0.005,5001,25.005,0.6371974,True
P695_NF28_sorted_txt,NF8207412,820741,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207412).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8207412).txt,0.005,5001,25.005,0.4127879,True
P695_NF28_sorted_txt,NF8207531,820753,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207531).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8207531).txt,0.005,7989,39.945,0.484298,True
P695_NF28_sorted_txt,NF8207532,820753,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207532).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8207532).txt,0.005,7989,39.945,0.5135683,True
P695_NF28_sorted_txt,NF8208021,820802,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208021).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208021).txt,0.005,7991,39.955,0.3626524,True
P695_NF28_sorted_txt,NF8208022,820802,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208022).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208022).txt,0.005,7991,39.955,0.3761446,True
P695_NF28_sorted_txt,NF8208211,820821,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208211).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208211).txt,0.005,4156,20.78,0.4863872,True
P695_NF28_sorted_txt,NF8208212,820821,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208212).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208212).txt,0.005,4156,20.78,0.4197479,True
P695_NF28_sorted_txt,NF8208251,820825,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208251).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208251).txt,0.02,1500,30.0,1.269103,True
P695_NF28_sorted_txt,NF8208252,820825,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208252).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208252).txt,0.02,1500,30.0,1.431426,True
P695_NF28_sorted_txt,NF8208281,820828,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208281).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208281).txt,0.02,1800,36.0,0.614812,True
P695_NF28_sorted_txt,NF8208282,820828,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208282).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208282).txt,0.02,1800,36.0,0.629605,True
P695_NF28_sorted_txt,NF8208791,820879,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208791).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208791).txt,0.005,9625,48.125,0.7099998,True
P695_NF28_sorted_txt,NF8208792,820879,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208792).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208792).txt,0.005,9625,48.125,0.7896413,True
P695_NF28_sorted_txt,NF8210041,821004,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210041).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210041).txt,0.005,9554,47.77,0.7311632,True
P695_NF28_sorted_txt,NF8210042,821004,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210042).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210042).txt,0.005,9554,47.77,0.7071871,True
P695_NF28_sorted_txt,NF8210481,821048,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210481).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210481).txt,0.01,2999,29.990000000000002,0.4132758,True
P695_NF28_sorted_txt,NF8210482,821048,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210482).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210482).txt,0.01,2999,29.990000000000002,0.4221552,True
P695_NF28_sorted_txt,NF8210631,821063,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210631).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210631).txt,0.01,1991,19.91,0.8698058,True
P695_NF28_sorted_txt,NF8210632,821063,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210632).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210632).txt,0.01,1991,19.91,0.4235898,True
P695_NF28_sorted_txt,NF8210861,821086,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210861).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210861).txt,0.02,2000,40.0,0.7326056,True
P695_NF28_sorted_txt,NF8210862,821086,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210862).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210862).txt,0.02,2000,40.0,0.5950733,True
P695_NF28_sorted_txt,NF8211651,821165,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211651).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211651).txt,0.005,6000,30.0,0.152082,True
P695_NF28_sorted_txt,NF8211652,821165,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211652).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211652).txt,0.005,6000,30.0,0.219541,True
P695_NF28_sorted_txt,NF8211761,821176,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211761).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211761).txt,0.005,7000,35.0,0.2779333,True
P695_NF28_sorted_txt,NF8211762,821176,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211762).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211762).txt,0.005,7000,35.0,0.3134605,True
P695_NF28_sorted_txt,NF8215031,821503,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215031).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215031).txt,0.005,18000,90.0,0.8217865,True
P695_NF28_sorted_txt,NF8215032,821503,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215032).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215032).txt,0.005,18000,90.0,0.5853938,True
P695_NF28_sorted_txt,NF8215041,821504,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215041).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215041).txt,0.005,18000,90.0,0.5583689,True
P695_NF28_sorted_txt,NF8215042,821504,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215042).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215042).txt,0.005,18000,90.0,0.3121592,True
P695_NF28_sorted_txt,NF8215171,821517,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215171).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215171).txt,0.005,18000,90.0,1.156699,True
P695_NF28_sorted_txt,NF8215172,821517,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215172).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215172).txt,0.005,18000,90.0,0.420463,True
P695_NF28_sorted_txt,NF8215291,821529,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215291).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215291).txt,0.005,18000,90.0,0.2930377,True
P695_NF28_sorted_txt,NF8215292,821529,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215292).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215292).txt,0.005,18000,90.0,0.1679013,True
P695_NF28_sorted_txt,NF8216051,821605,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8216051).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8216051).txt,0.005,5177,25.885,0.3578179,True
P695_NF28_sorted_txt,NF8216052,821605,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8216052).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8216052).txt,0.005,5177,25.885,0.5183794,True
P695_NF28_sorted_txt,NF8221141,822114,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8221141).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8221141).txt,0.005,18000,90.0,0.3346401,True
P695_NF28_sorted_txt,NF8221142,822114,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8221142).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8221142).txt,0.005,18000,90.0,0.2835181,True
